ConstructName,SubjectName,QuestionText,AnswerText,MisconceptionText,CorrectAnswerText,MisconceptionID
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 10cm and perpendicular height 14cm.](),24cm²,Adds when calculating area instead of multiplying,140cm²,828
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=2x+5. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 9 \) \\
\end{tabular}]()",2,Mixes up the value of two terms when substituting,7,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 7 equal sections labelled 1, 2, 3, 4, 5, 6 and 7.]()",1,Does not understand that a probability of 1 represents something that is certain,7,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.87 to a percentage,8.7%,Does not understand a percentage is out of 100,87%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.000003 to a percentage,0.003%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.0003%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 11 \\
\hline 2 & 4 \\
\hline 3 & 5 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 11cm and perpendicular height 8cm.](),19cm²,Adds when calculating area instead of multiplying,88cm²,828
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=4x-3. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 5 \) \\
\end{tabular}]()",4,Mixes up the value of two terms when substituting,1,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 2 equal sections labelled 1 and 2.](),1,Does not understand that a probability of 1 represents something that is certain,2,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.17 to a percentage,1.7%,Does not understand a percentage is out of 100,17%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.000002 to a percentage,0.002%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.0002%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 8 \\
\hline 1 & 6 \\
\hline 2 & 7 \\
\hline 3 & 4 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 15cm and perpendicular height 14cm.](),29cm²,Adds when calculating area instead of multiplying,210cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 84cm². What is the value of a? ![A trapezium with the parallel sides labelled with 12cm and a and the height labelled with 7cm](),24cm,Does not divide by 2 when calculating the area of a trapezium,12cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=5x-2. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 8 \) \\
\end{tabular}]()",5,Mixes up the value of two terms when substituting,3,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular octagon (8 sided polygon)](),4,Does not know how to find order of rotational symmetry,8,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 7 equal sections labelled 1, 2, 3, 4, 5, 6 and 7.]()",1,Does not understand that a probability of 1 represents something that is certain,7,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.36 to a percentage,3.6%,Does not understand a percentage is out of 100,36%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.0000001 to a percentage,0.0001%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.00001%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 7 \\
\hline 2 & 5 \\
\hline 3 & 7 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1 and 3,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 14cm and perpendicular height 9cm.](),23cm²,Adds when calculating area instead of multiplying,126cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 63cm². What is the value of a? ![A trapezium with the parallel sides labelled with 7cm and a and the height labelled with 9cm](),18cm,Does not divide by 2 when calculating the area of a trapezium,13cm,2353
Solve problems involving adding a period of time on to a given start time,Time,"A train takes 3 hours 15 minutes to complete a journey from London to Brighton. If the train leaves London at 11:40, what time does it arrive in Brighton?",15:00,Does not adjust the hour for “to” times,14:55,685
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=2x-1. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 3 \) \\
\end{tabular}]()",2,Mixes up the value of two terms when substituting,1,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular octagon (8 sided polygon)](),4,Does not know how to find order of rotational symmetry,8,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 6 equal sections labelled 1, 2, 3, 4, 5 and 6.]()",1,Does not understand that a probability of 1 represents something that is certain,6,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.13 to a percentage,1.3%,Does not understand a percentage is out of 100,13%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.000009 to a percentage,0.009%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.0009%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 9 \\
\hline 2 & 5 \\
\hline 3 & 5 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 11cm and perpendicular height 15cm.](),26cm²,Adds when calculating area instead of multiplying,165cm²,828
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=7x-3. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 11 \) \\
\end{tabular}]()",7,Mixes up the value of two terms when substituting,4,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular octagon (8 sided polygon)](),4,Does not know how to find order of rotational symmetry,8,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 3 equal sections labelled 1, 2 and 3.]()",1,Does not understand that a probability of 1 represents something that is certain,3,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.24 to a percentage,2.4%,Does not understand a percentage is out of 100,24%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.0000005 to a percentage,0.0005%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.00005%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 7 \\
\hline 1 & 5 \\
\hline 2 & 8 \\
\hline 3 & 5 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 16cm and perpendicular height 11cm.](),27cm²,Adds when calculating area instead of multiplying,176cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 56cm². What is the value of a? ![A trapezium with the parallel sides labelled with 8cm and a and the height labelled with 7cm](),16cm,Does not divide by 2 when calculating the area of a trapezium,8cm,2353
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 4 equal sections labelled 1, 2, 3 and 4.]()",1,Does not understand that a probability of 1 represents something that is certain,4,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.83 to a percentage,8.3%,Does not understand a percentage is out of 100,83%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.0000008 to a percentage,0.0008%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.00008%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 5 \\
\hline 1 & 10 \\
\hline 2 & 7 \\
\hline 3 & 3 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 15cm and perpendicular height 11cm.](),26cm²,Adds when calculating area instead of multiplying,165cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 63cm². What is the value of a? ![A trapezium with the parallel sides labelled with 7cm and a and the height labelled with 9cm](),18cm,Does not divide by 2 when calculating the area of a trapezium,13cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=3x-1. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 5 \) \\
\end{tabular}]()",3,Mixes up the value of two terms when substituting,5,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular heptagon (7 sided polygon)](),1,Does not know how to find order of rotational symmetry,7,2355
Identify the outcomes of a single event,Probability of Single Events,This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 2 equal sections labelled 1 and 2.](),1,Does not understand that a probability of 1 represents something that is certain,2,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.26 to a percentage,2.6%,Does not understand a percentage is out of 100,26%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.0000006 to a percentage,0.0006%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.00006%,61
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 11cm and perpendicular height 14cm.](),25cm²,Adds when calculating area instead of multiplying,154cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 48cm². What is the value of a? ![A trapezium with the parallel sides labelled with 8cm and a and the height labelled with 6cm](),16cm,Does not divide by 2 when calculating the area of a trapezium,8cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=2x-3. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 1 \) \\
\end{tabular}]()",2,Mixes up the value of two terms when substituting,1,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular pentagon](),1,Does not know how to find order of rotational symmetry,5,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 10 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8, 9 and 10.]()",1,Does not understand that a probability of 1 represents something that is certain,10,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.32 to a percentage,3.2%,Does not understand a percentage is out of 100,32%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.00000001 to a percentage,0.00001%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.000001%,61
Solve problems involving subtracting a period of time from a given end time,Time,What time is 1 hour 5 minutes before 17:00?,16:5,"Does not subtract from the hours, when having to borrow for a time calculation",15:55,13
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 7 \\
\hline 1 & 6 \\
\hline 2 & 5 \\
\hline 3 & 9 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,3,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 11cm and perpendicular height 13cm.](),24cm²,Adds when calculating area instead of multiplying,143cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 49cm². What is the value of a? ![A trapezium with the parallel sides labelled with 7cm and a and the height labelled with 7cm](),14cm,Does not divide by 2 when calculating the area of a trapezium,7cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=2x+7. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 11 \) \\
\end{tabular}]()",2,Mixes up the value of two terms when substituting,9,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular pentagon](),1,Does not know how to find order of rotational symmetry,5,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 8 equal sections labelled 1, 2, 3, 4, 5, 6, 7 and 8.]()",1,Does not understand that a probability of 1 represents something that is certain,8,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.57 to a percentage,5.7%,Does not understand a percentage is out of 100,57%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.00000005 to a percentage,0.00005%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.000005%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 10 \\
\hline 2 & 7 \\
\hline 3 & 2 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 13cm and perpendicular height 12cm.](),25cm²,Adds when calculating area instead of multiplying,156cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 80cm². What is the value of a? ![A trapezium with the parallel sides labelled with 10cm and a and the height labelled with 8cm](),20cm,Does not divide by 2 when calculating the area of a trapezium,10cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=4x-2. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 6 \) \\
\end{tabular}]()",4,Mixes up the value of two terms when substituting,2,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 9 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8 and 9.]()",1,Does not understand that a probability of 1 represents something that is certain,9,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.14 to a percentage,1.4%,Does not understand a percentage is out of 100,14%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.00000008 to a percentage,0.00008%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.000008%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 7 \\
\hline 2 & 5 \\
\hline 3 & 7 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1 and 3,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 10cm and perpendicular height 17cm.](),27cm²,Adds when calculating area instead of multiplying,170cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 60cm². What is the value of a? ![A trapezium with the parallel sides labelled with 10cm and a and the height labelled with 6cm](),20cm,Does not divide by 2 when calculating the area of a trapezium,10cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=5x-3. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 7 \) \\
\end{tabular}]()",5,Mixes up the value of two terms when substituting,2,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular nonagon (9 sided polygon)](),1,Does not know how to find order of rotational symmetry,9,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 11 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 and 11.]()",1,Does not understand that a probability of 1 represents something that is certain,11,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.65 to a percentage,6.5%,Does not understand a percentage is out of 100,65%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.00000006 to a percentage,0.00006%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.000006%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 5 \\
\hline 1 & 10 \\
\hline 2 & 7 \\
\hline 3 & 3 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 12cm and perpendicular height 11cm.](),23cm²,Adds when calculating area instead of multiplying,132cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 72cm². What is the value of a? ![A trapezium with the parallel sides labelled with 12cm and a and the height labelled with 6cm](),24cm,Does not divide by 2 when calculating the area of a trapezium,8cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=3x+5. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 11 \) \\
\end{tabular}]()",3,Mixes up the value of two terms when substituting,8,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 12 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11 and 12.]()",1,Does not understand that a probability of 1 represents something that is certain,12,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.97 to a percentage,9.7%,Does not understand a percentage is out of 100,97%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.000000001 to a percentage,0.000001%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.0000001%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 8 \\
\hline 2 & 7 \\
\hline 3 & 4 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 17cm and perpendicular height 8cm.](),25cm²,Adds when calculating area instead of multiplying,136cm²,828
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=8x+3. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 19 \) \\
\end{tabular}]()",8,Mixes up the value of two terms when substituting,11,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 5 equal sections labelled 1, 2, 3, 4 and 5.]()",1,Does not understand that a probability of 1 represents something that is certain,5,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.4 to a percentage,4%,Does not understand a percentage is out of 100,40%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.000000005 to a percentage,0.000005%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.0000005%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 7 \\
\hline 1 & 6 \\
\hline 2 & 9 \\
\hline 3 & 3 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,2,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 15cm and perpendicular height 13cm.](),28cm²,Adds when calculating area instead of multiplying,195cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 35cm². What is the value of a? ![A trapezium with the parallel sides labelled with 5cm and a and the height labelled with 7cm](),10cm,Does not divide by 2 when calculating the area of a trapezium,5cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=6x-4. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 8 \) \\
\end{tabular}]()",6,Mixes up the value of two terms when substituting,2,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular octagon (8 sided polygon)](),4,Does not know how to find order of rotational symmetry,8,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 11 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 and 11.]()",1,Does not understand that a probability of 1 represents something that is certain,11,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.89 to a percentage,8.9%,Does not understand a percentage is out of 100,89%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.000000008 to a percentage,0.000008%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.0000008%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 7 \\
\hline 1 & 6 \\
\hline 2 & 5 \\
\hline 3 & 8 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,3,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 17cm and perpendicular height 10cm.](),27cm²,Adds when calculating area instead of multiplying,170cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 90cm². What is the value of a? ![A trapezium with the parallel sides labelled with 10cm and a and the height labelled with 9cm](),20cm,Does not divide by 2 when calculating the area of a trapezium,10cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=11x+3. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 25 \) \\
\end{tabular}]()",11,Mixes up the value of two terms when substituting,15,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 3 equal sections labelled 1, 2 and 3.]()",1,Does not understand that a probability of 1 represents something that is certain,3,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.71 to a percentage,7.1%,Does not understand a percentage is out of 100,71%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.000000006 to a percentage,0.000006%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.0000006%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 7 \\
\hline 2 & 5 \\
\hline 3 & 7 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1 and 3,2470
